carroceria,color,combustible,fecha,marca,modelo,precio,odometro
Sedán,Gris,Gasolina,2022,Volkswagen,Virtus,315000,32906
Hatchback (5 Puertas),Gris,Gasolina,2018,Volkswagen,Golf,339900,40000
Camioneta SUV,Plata,Gasolina,2017,Kia,Sorento LX,349000,61000
Camioneta SUV,Azul,Gasolina,2017,Chevrolet,Equinox,244000,107454
Camioneta SUV,Blanco,Gasolina,2022,Buick,Encore,450000,45000
Camioneta SUV,Gris,Gasolina,2022,Audi,Q3,719900,30000
Camioneta SUV,Negro,Gasolina,2018,Honda,CR-V,340000,100000
Hatchback (5 Puertas),Plata,Gasolina,2024,Mercedes Benz,Clase A,1015000,2025
Camioneta SUV,Negro,Gasolina,2024,Lincoln,Navigator,2499000,6092
Camioneta SUV,Blanco,Gasolina,2018,Ford,Escape,289750,45000
Sedán,Blanco,Gasolina,2016,Volkswagen,Jetta,220900,130287
Camioneta SUV,Blanco,Gasolina,2018,Hyundai,Santa Fe,389750,45000
Camioneta SUV,Gris,Gasolina,2019,Toyota,RAV4,448000,79106
Camioneta SUV,Blanco,Gasolina,2019,Jeep,Cherokee,490000,40674
Camioneta SUV,Blanco,Gasolina,2018,Renault,Koleos,319000,109462
Camioneta SUV,Blanco,Gasolina,2022,Jeep,Compass,429000,77244
Sedán,Negro,Gasolina,2019,Volkswagen,Jetta,316750,35000
Crossover,Blanco,Gasolina,2022,Suzuki,Ignis,249900,32000
Pickup,Blanco,Gasolina,2017,Ford,Lobo,635000,69000
Camioneta SUV,Negro,Gasolina,2021,Chevrolet,Tracker,289000,45543
Sedán,Blanco,Gasolina,2014,Nissan,Versa,134800,95000
Coupé,Blanco,Gasolina,2016,Volkswagen,Golf,255800,68000
Pickup,Blanco,Gasolina,2023,Mitsubishi,L200 Pick Up,510000,23500
Sedán,Azul,Gasolina,2016,Nissan,Versa,174000,74000
Sedán,Rojo,Gasolina,2023,MG,GT,300000,10425
Camioneta SUV,Blanco,Gasolina,2023,Chirey,TIGGO 8 PRO MAX 2.0T PREMIUM AWD,630000,40000
Sedán,Gris,Gasolina,2023,Suzuki,Swift,289900,26946
Camioneta SUV,Plata,Gasolina,2017,Dodge,Journey SXT Lujo 7 P,199000,110000
Pickup,Blanco,Gasolina,2022,JAC,Frison T8,325000,52000
Camioneta SUV,Rojo,Gasolina,2019,Honda,HR-V,318000,82000
Camioneta SUV,Negro,Gasolina,2022,BMW,X6,1349000,25000
Camioneta SUV,Plata,Gasolina,2018,Jeep,Wrangler Unlimited Sport,558000,52800
Pickup,Blanco,Gasolina,2022,JAC,Frison T8,329000,45654
Camioneta SUV,Blanco,Gasolina,2014,Jeep,Grand Cherokee,369850,77000
Camioneta SUV,Gris,Gasolina,2021,Hyundai,Creta,349750,35000
Camioneta SUV,Blanco,Gasolina,2021,BMW,X3,890000,86190
Sedán,Gris,Gasolina,2018,Nissan,Sentra,215000,85000
Camioneta SUV,Blanco,Gasolina,2013,Ford,Edge,199500,86000
Sedán,Azul,Gasolina,2023,Nissan,Sentra,328500,27000
Camioneta SUV,Plata,Gasolina,2012,Jeep,Compass,169000,95000
Camioneta SUV,Blanco,Gasolina,2019,Kia,Sorento,345000,80325
Camioneta SUV,Blanco,Gasolina,2019,Chevrolet,Trax,279000,48000
Camioneta SUV,Blanco,Gasolina,2022,GMC,Yukon,1596000,47221
Camioneta SUV,Blanco,Gasolina,2019,Mitsubishi,Montero,459800,63000
Crossover,Plata,Gasolina,2017,Nissan,Kicks Advance,318000,68000
Camioneta SUV,Blanco,Gasolina,2015,GMC,Acadia,299900,69000
Crossover,Blanco,Gasolina,2024,JAC,Sei4,325000,28000
Sedán,Azul,Gasolina,2015,Toyota,Yaris,179000,88000
Camioneta SUV,Blanco,Gasolina,2016,Toyota,RAV4,290000,72000
Camioneta SUV,Rojo,Gasolina,2023,Chevrolet,Tracker,342000,32318
Camioneta SUV,Plata,Gasolina,2023,Jeep,Grand Cherokee,950000,9196
Camioneta SUV,Azul,Gasolina,2018,Ford,Ecosport,269900,42000
Hatchback (5 Puertas),Negro,Gasolina,2015,Nissan,March,129000,123183
Sedán,Blanco,Gasolina,2021,Volkswagen,Vento,229990,93236
Sedán,Rojo,Gasolina,2018,Dodge,Attitude,150000,52364
Hatchback (5 Puertas),Plata,Gasolina,2023,Nissan,March,219000,22942
Sedán,Azul,Gasolina,2024,Volkswagen,Virtus,315000,18446
Sedán,Naranja,Gasolina,2020,BMW,Serie 3,559000,53535
Pickup,Blanco,Gasolina,2023,Chevrolet,Silverado,670000,18500
Sedán,Gris,Gasolina,2023,Chevrolet,Onix,290000,59440
Sedán,Negro,Gasolina,2023,Kia,Forte,345000,35741
Sedán,Blanco,Gasolina,2019,Mercedes Benz,CLA 200,400000,80000
Camioneta SUV,Blanco,Gasolina,2016,Jeep,Grand Cherokee,339000,93000
Pickup,Negro,Gasolina,2015,Chevrolet,Cheyenne,498000,123456
Hatchback (3 Puertas),Blanco,Gasolina,2015,Audi,A1,234950,72000
Sedán,Plata,Gasolina,2024,Volkswagen,Virtus,315000,18044
Camioneta SUV,Blanco,Gasolina,2019,Kia,Sorento,379900,39222
Sedán,Azul,Gasolina,2018,Volkswagen,Gol,173000,67000
Sedán,Blanco,Gasolina,2023,Chevrolet,Onix,290000,32871
Sedán,Plata,Gasolina,2013,Volkswagen,Jetta,217800,76000
Pickup,Blanco,Gasolina,2015,Chevrolet,Cheyenne,469900,98000
Sedán,Rojo,Gasolina,2015,Mazda,3,195000,105000
Mini van (MPV),Blanco,Híbrido,2021,Toyota,Sienna,699000,38000
Camioneta SUV,Azul,Gasolina,2021,Ford,Explorer,800000,33000
Sedán,Rojo,Gasolina,2022,Hyundai,Grand i10,219850,8000
Camioneta SUV,Negro,Gasolina,2018,Honda,CR-V,399900,56000
Camioneta SUV,Dorado,Gasolina,2016,Chevrolet,Traverse,310000,43000
Hatchback (5 Puertas),Blanco,Gasolina,2018,Suzuki,Swift,220000,106153
Camioneta SUV,Blanco,Gasolina,2018,Dodge,RAM 700,185000,140000
Hatchback (5 Puertas),Gris,Gasolina,2020,Mazda,3 S Grand Touring,349000,68000
Camioneta SUV,Negro,Gasolina,2018,Jeep,Grand Cherokee Limited,499900,62000
Sedán,Gris,Gasolina,2018,BMW,Serie 3,350000,75256
Sedán,Blanco,Gasolina,2020,Chrysler,Pacifica,559000,80250
Camioneta SUV,Negro,Gasolina,2016,Honda,CR-V,325000,72000
Camioneta SUV,Rojo,Gasolina,2020,Mercedes Benz,Clase GLA,478750,59000
Camioneta SUV,Azul,Gasolina,2023,BMW,X1 sDRIVE,689900,16400
Camioneta SUV,Gris,Híbrido,2019,Mercedes Benz,GLC 300,620000,79709
Camioneta SUV,Plata,Gasolina,2024,Hyundai,Tucson,554900,17600
Camioneta SUV,Gris,Gasolina,2017,Kia,Sorento,365000,97500
Camioneta SUV,Blanco,Gasolina,2022,Infiniti,QX60,885000,55545
Hatchback (5 Puertas),Plata,Gasolina,2014,Toyota,Prius,222000,63000
Hatchback (3 Puertas),Blanco,Gasolina,2020,Mini,Cooper,335000,59469
Camioneta SUV,Vino,Gasolina,2021,Renault,Koleos,409900,18781
Hatchback (3 Puertas),Gris,Gasolina,2020,Volkswagen,Polo,209500,53000
Sedán,Blanco,Gasolina,2020,Kia,Rio,235000,72000
Hatchback (5 Puertas),Blanco,Gasolina,2016,Chevrolet,Sonic,220000,84000
Sedán,Blanco,Gasolina,2019,Nissan,Sentra,228000,45000
Sedán,Azul,Gasolina,2018,Honda,Civic,345000,72000
Pickup,Blanco,Gasolina,2016,Dodge,Ram 2500 Pick Up,458000,88000
Hatchback (5 Puertas),Gris,Gasolina,2020,Volkswagen,Polo,210000,95294
Hatchback (5 Puertas),Gris,Gasolina,2025,Chevrolet,Aveo,270000,40
Hatchback (5 Puertas),Rojo,Gasolina,2012,Suzuki,Swift,153500,91000
Sedán,Plata,Gasolina,2018,Dodge,Neón,190000,63200
Sedán,Gris,Híbrido,2022,Volvo,S60,779900,24000
Hatchback (3 Puertas),Blanco,Gasolina,2013,Audi,A1,177000,120000
Sedán,Gris,Gasolina,2022,Honda,Accord,584900,57000
Camioneta SUV,Gris,Gasolina,2017,Ford,Explorer,338000,70000
Sedán,Azul,Gasolina,2020,Chevrolet,Cavalier,229000,64000
Coupé,Rojo,Gasolina,2018,Audi,A5,390000,107000
Camioneta SUV,Gris,Gasolina,2016,Mazda,CX-5,299800,74200
Pickup,Blanco,Gasolina,2020,Chevrolet,Cheyenne,798000,51869
Sedán,Blanco,Gasolina,2015,Nissan,Tiida,129900,84000
Camioneta SUV,Plata,Gasolina,2024,Chirey,TIGGO 4 PRO1.5T Premium,364000,5926
Camioneta SUV,Blanco,Gasolina,2018,Nissan,X-Trail,309800,57000
Sedán,Rojo,Gasolina,2017,Dodge,Neón,185000,36000
Camioneta SUV,Plata,Gasolina,2022,Chevrolet,Blazer,595000,33273
Camioneta SUV,Gris,Gasolina,2019,Land Rover,Velar R- Dynamic,819900,59219
Pickup,Blanco,Gasolina,2021,Nissan,Frontier,475000,24070
Pickup,Blanco,Gasolina,2021,Toyota,Hilux,444900,61000
Sedán,Plata,Gasolina,2023,Lexus,IS 300,719000,2908
Camioneta SUV,Negro,Gasolina,2021,Mercedes Benz,Clase GLA,688000,55700
Camioneta SUV,Plata,Gasolina,2021,Renault,Captur,255000,52122
Hatchback (5 Puertas),Rojo,Gasolina,2024,Volkswagen,Golf,739990,1594
Camioneta SUV,Negro,Gasolina,2019,Jeep,Grand Cherokee,549900,45000
Camioneta SUV,Blanco,Gasolina,2022,Dodge,Journey,445900,33000
Coupé,Blanco,Gasolina,2016,Seat,Ibiza,189000,85000
Camioneta SUV,Blanco,Gasolina,2016,Seat,Ibiza,193500,68000
Coupé,Azul,Gasolina,2018,BMW,M2,820000,46900
Camioneta SUV,Gris,Gasolina,2016,Kia,Sorento,269900,66000
Hatchback (5 Puertas),Gris,Gasolina,2021,Mazda,3,329000,42000
Sedán,Blanco,Gasolina,2021,JAC,J7,268000,101000
Sedán,Gris,Gasolina,2018,Mercedes Benz,Clase C,339000,69262
Hatchback (5 Puertas),Negro,Gasolina,2017,Volkswagen,CROSS GOLF,298000,69500
Camioneta SUV,Rojo,Gasolina,2021,Kia,Seltos,360000,73870
Hatchback (5 Puertas),Plata,Gasolina,2017,Audi,A1,269000,83444
Todoterreno Ligero,Negro,Gasolina,2019,Mercedes Benz,Clase GLS,659900,76450
Pickup,Blanco,Gasolina,2021,Toyota,Hilux,419800,110928
Sedán,Gris,Gasolina,2023,Kia,Forte,294000,43276
Pickup,Blanco,Gasolina,2022,Volkswagen,Saveiro,249800,22000
Crossover,Gris,Gasolina,2022,Mercedes Benz,Clase GLE,1298000,51334
Hatchback (3 Puertas),Blanco,Gasolina,2020,Nissan,March,189900,35000
Camioneta SUV,Blanco,Gasolina,2019,Kia,Sportage,445900,75000
Pickup,Gris,Gasolina,2019,Toyota,Tacoma,604000,53553
Sedán,Blanco,Gasolina,2018,Hyundai,Accent,217000,79900
Camioneta SUV,Plata,Gasolina,2022,Jeep,Renegade,310000,47935
Camioneta SUV,Blanco,Gasolina,2023,Kia,Sportage,529000,24785
Sedán,Gris,Gasolina,2021,Nissan,Sentra,295000,35083
Hatchback (5 Puertas),Plata,Gasolina,2023,Volkswagen,Cross Sport,880000,11906
Camioneta SUV,Negro,Gasolina,2023,Omoda,Omoda C5,408000,11000
Camioneta SUV,Blanco,Gasolina,2020,Nissan,Urvan,545000,48000
Sedán,Plata,Gasolina,2023,Volkswagen,Jetta,379000,7500
Camioneta SUV,Blanco,Gasolina,2019,Chevrolet,Tahoe,690000,75000
Sedán,Gris,Gasolina,2020,Chevrolet,Beat,195000,62344
Sedán,Blanco,Gasolina,2015,Chevrolet,Aveo,135500,111000
Camioneta SUV,Plata,Gasolina,2020,Audi,Q2,375000,84775
Camioneta SUV,Plata,Gasolina,2022,Chevrolet,Tracker,299000,73000
Camioneta SUV,Azul,Gasolina,2018,Audi,SQ5,580000,88192
Crossover,Rojo,Gasolina,2021,Mazda,CX-3,348000,51503
Camioneta Chasis,Blanco,Gasolina,2019,RAM,4000,698000,42000
Camioneta SUV,Rojo,Gasolina,2020,Renault,Koleos,379000,62000
Sedán,Negro,Gasolina,2022,Hyundai,Accent,260000,61043
Hatchback (5 Puertas),Azul,Gasolina,2019,Chevrolet,Beat,185000,90000
Camioneta SUV,Negro,Gasolina,2023,Chevrolet,Blazer,739000,59594
Pickup,Blanco,Gasolina,2016,Nissan,NP 300,287500,123000
Camioneta SUV,Blanco,Gasolina,2019,BMW,X1,398900,47600
Camioneta SUV,Blanco,Gasolina,2020,Ford,Edge,459000,55000
Camioneta SUV,Plata,Gasolina,2023,Chevrolet,Groove,299850,38000
Hatchback (3 Puertas),Gris,Gasolina,2016,Fiat,500,211000,41823
Coupé,Blanco,Gasolina,2019,Honda,Civic,375000,65810
Pickup,Blanco,Gasolina,2019,Toyota,Hilux,397000,68000
Sedán,Blanco,Gasolina,2020,Toyota,Corolla,334000,34000
Hatchback (3 Puertas),Negro,Gasolina,2018,Audi,A1,298000,40362
Van,Blanco,Gasolina,2021,Toyota,Hiace,689500,45000
Sedán,Blanco,Gasolina,2021,Kia,Rio,258000,60000
Hatchback (5 Puertas),Rojo,Gasolina,2023,Hyundai,HB20,366200,23146
Camioneta SUV,Plata,Gasolina,2012,Jeep,Compass,169900,116000
Camioneta SUV,Blanco,Gasolina,2018,Renault,Koleos,310000,85641
Sedán,Rojo,Gasolina,2018,Mazda,3,225000,110083
Hatchback (3 Puertas),Rojo,Gasolina,2013,Volkswagen,Beetle Turbo,219900,69000
Camioneta SUV,Blanco,Gasolina,2019,Mitsubishi,Montero,400000,128555
Sedán,Blanco,Gasolina,2015,Nissan,Tiida,129000,138241
Camioneta SUV,Azul,Gasolina,2021,Chevrolet,Tracker,285000,77179
Sedán,Azul,Gasolina,2019,Ford,Figo,209800,71000
Hatchback (5 Puertas),Blanco,Gasolina,2021,Volkswagen,Cross Sport,699000,63100
Coupé,Blanco,Gasolina,2021,Mazda,Mazda 3,358000,73342
Camioneta SUV,Blanco,Gasolina,2017,Chrysler,Pacifica,324900,71000
Camioneta SUV,Blanco,Gasolina,2019,Audi,SQ5,690000,83000
Camioneta SUV,Café,Gasolina,2015,Honda,CR-V,300000,104025
Camioneta SUV,Blanco,Gasolina,2019,Suzuki,Vitara Boosterjet,265000,79763
Camioneta SUV,Blanco,Gasolina,2022,MG,ZS,259000,25000
Sedán,Negro,Gasolina,2021,Chevrolet,Cavalier,229000,65000
Camioneta SUV,Azul,Gasolina,2015,Jeep,Cherokee,215000,123768
Van,Blanco,Gasolina,2023,Nissan,Urvan,599000,68000
Hatchback (5 Puertas),Gris,Gasolina,2018,Nissan,March Advance,198000,80462
Sedán,Rojo,Gasolina,2016,Chevrolet,Sonic,170000,95000
Hatchback (3 Puertas),Negro,Gasolina,2024,Seat,Ibiza,365000,11248
Crossover,Rojo,Gasolina,2021,Suzuki,Ignis,275000,49000
Sedán,Gris,Gasolina,2014,Volkswagen,Vento,168000,79000
Sedán,Negro,Gasolina,2015,Volkswagen,Jetta,227500,73601
Camioneta SUV,Blanco,Gasolina,2023,Chevrolet,Captiva,398000,12000
Coupé,Blanco,Gasolina,2018,Honda,Accord,379900,68000
Sedán,Blanco,Gasolina,2018,Honda,Accord,379900,68000
Hatchback (5 Puertas),Plata,Gasolina,2013,Volkswagen,Gol,139000,60000
Hatchback (5 Puertas),Blanco,Gasolina,2018,Mercedes Benz,GLA 200,359000,77000
Sedán,Azul,Gasolina,2020,Mini,Cooper,390000,36552
Van,Blanco,Gasolina,2018,RAM,Promaster,189900,94560
Camioneta SUV,Vino,Gasolina,2024,Hyundai,Creta,460000,28291
Sedán,Naranja,Gasolina,2020,Nissan,Versa,254900,60000
Camioneta SUV,Negro,Gasolina,2018,Jeep,Grand Cherokee,489000,80000
Camioneta SUV,Blanco,Gasolina,2017,Kia,Soul,249800,94991
Camioneta SUV,Gris,Gasolina,2021,Mazda,CX-5,410000,86604
Pickup,Blanco,Gasolina,2018,Chevrolet,Tornado,195000,139800
Camioneta SUV,Blanco,Gasolina,2016,Nissan,X-Trail Sense,219900,65000
Camioneta SUV,Blanco,Gasolina,2020,GMC,Acadia,599000,66276
Camioneta SUV,Blanco,Gasolina,2023,Chirey,Tiggo 7 Pro,469000,10953
Hatchback (3 Puertas),Blanco,Gasolina,2017,Chevrolet,Spark,139500,87000
Sedán,Negro,Gasolina,2016,Kia,Forte,229000,107000
Sedán,Negro,Gasolina,2023,Chevrolet,Onix,248000,23894
Hatchback (5 Puertas),Blanco,Gasolina,2014,Hyundai,i10,123500,90000
Camioneta SUV,Blanco,Gasolina,2019,Honda,BR-V,295000,67000
Pickup,Rojo,Gasolina,2017,Chevrolet,Silverado 1500,378000,107407
Van,Blanco,Gasolina,2015,Nissan,NV350 Urvan Panel,299000,99000
Camioneta SUV,Blanco,Gasolina,2021,Chrysler,Pacifica,575000,30000
Camioneta SUV,Blanco,Gasolina,2018,Nissan,Kicks Exclusive,239000,72000
Hatchback (3 Puertas),Blanco,Gasolina,2013,Audi,A1,212600,89000
Sedán,Plata,Gasolina,2018,Toyota,Camry,339000,70173
Camioneta SUV,Blanco,Gasolina,2015,Suzuki,Grand Vitara,190000,110000
Camioneta SUV,Gris,Gasolina,2023,Chevrolet,Groove,324000,22195
Mini van (MPV),Antracita,Gasolina,2013,Honda,Odyssey,239800,87219
Sedán,Blanco,Gasolina,2022,Chevrolet,Aveo,214900,44000
Camioneta SUV,Blanco,Eléctrico,2019,Nissan,X-Trail,345000,96294
Mini van (MPV),Blanco,Gasolina,2023,Volkswagen,Crafter,1199000,48060
Camioneta SUV,Azul,Gasolina,2023,Audi,Q3,690000,24255
Sedán,Rojo,Gasolina,2024,Mitsubishi,Mirage,274000,14000
Camioneta SUV,Blanco,Gasolina,2017,Infiniti,QX60,385000,108000
Crossover,Blanco,Gasolina,2017,Mazda,CX-3,289000,65666
Hatchback (5 Puertas),Negro,Gasolina,2024,Volkswagen,Cross Sport,1060000,760
Hatchback (5 Puertas),Blanco,Gasolina,2015,Pontiac,Matiz,117500,75000
Coupé,Negro,Gasolina,2019,BMW,Serie 4,448900,36000
Todoterreno Ligero,Gris,Gasolina,2021,Jeep,Gladiator,999000,49000
Camioneta SUV,Negro,Gasolina,2024,Seat,Arona,384990,14971
Pickup,Plata,Gasolina,2020,Renault,Oroch,299000,52000
Camioneta SUV,Gris,Gasolina,2016,Mercedes Benz,Clase G,1700000,63450
Hatchback (5 Puertas),Azul,Gasolina,2017,Volkswagen,Golf Highline,398000,76238
Sedán,Blanco,Diesel,2024,Ford,F-250,1897000,0
Pickup,Blanco,Gasolina,2023,RAM,700,349900,15785
Pickup,Tinto,Gasolina,2021,Chevrolet,Colorado,584900,50700
Sedán,Blanco,Gasolina,2024,Ford,Lobo,1376900,0
Sedán,Negro,Gasolina,2024,Ford,Ranger,858000,0
Coupé,Blanco,Gasolina,2024,Audi,RS 5,1788000,85
Sedán,Azul,Diesel,2024,Ford,F-250,1897000,0
Camioneta SUV,Blanco,Gasolina,2023,Hyundai,Palisade,835000,31066
Camioneta SUV,Negro,Gasolina,2017,Land Rover,Discovery Sport,439900,57152
Hatchback (3 Puertas),Blanco,Gasolina,2024,Seat,Ibiza Style,325000,4858
Camioneta SUV,Negro,Gasolina,2022,Audi,Q7,1178000,35000
Camioneta SUV,Plata,Gasolina,2019,Ford,Escape,310000,118435
Sedán,Tinto,Gasolina,2021,Ford,Figo Energy,189000,46000
Van,Blanco,Gasolina,2016,Chevrolet,Express Cargo Van,379800,104607.1
Camioneta SUV,Negro,Gasolina,2025,Mini,Countryman,929900,3000
Camioneta SUV,Gris,Gasolina,2021,Nissan,X-Trail Exclusive,449000,70000
Coupé,Blanco,Gasolina,2020,BMW,Serie 2,419900,94714
Coupé,Gris,Gasolina,2018,Mercedes Benz,C 250 Sport,399000,86000
Sedán,Blanco,Gasolina,2016,Nissan,X-Trail,245000,102423
Pickup,Blanco,Gasolina,2025,Volkswagen,Saveiro,331000,300
Sedán,Azul,Gasolina,2016,Chevrolet,Sonic,166500,85000
Camioneta SUV,Blanco,Gasolina,2023,Kia,Sportage Ex,558000,26630
Camioneta SUV,Blanco,Gasolina,2004,Nissan,X-Trail,128500,110000
Pickup,Gris,Gasolina,2022,Peugeot,Landtrek Active,449000,16000
Camioneta SUV,Negro,Gasolina,2022,Mercedes Benz,Clase G,3395000,29838
Sedán,Blanco,Gasolina,2021,Volkswagen,Jetta Trendline,309900,58000
Convertible,Blanco,Gasolina,2016,Chevrolet,Corvette,1399850,60000
Pickup,Blanco,Gasolina,2021,Chevrolet,Silverado,664900,12345
Camioneta SUV,Azul,Gasolina,2024,Land Rover,Velar,1850000,7431
Camioneta SUV,Negro,Gasolina,2018,Chevrolet,Trax LTZ,234900,72000
Sedán,Negro,Gasolina,2024,Chirey,Arrizo 8,399500,14000
Camioneta SUV,Blanco,Gasolina,2014,Jeep,Compass,198500,66000
Mini van (MPV),Blanco,Gasolina,2005,Chrysler,Voyager,114500,97000
Sedán,Gris,Gasolina,2023,Nissan,Altima Exclusive,558000,37482
Sedán,Blanco,Eléctrico,2025,BMW,Serie 5,1800000,0
Sedán,Blanco,Gasolina,2023,MG,5 Elegance,229000,34000
Camioneta SUV,Gris,Gasolina,2018,Honda,CR-V,389000,87608
Hatchback (5 Puertas),Blanco,Eléctrico,2017,Nissan,Leaf,224900,29786
Pickup,Blanco,Gasolina,2016,Toyota,Tacoma Edición Especial,559900,86000
Camioneta SUV,Blanco,Gasolina,2013,Mercedes Benz,ML-350,329000,99000
Hatchback (5 Puertas),Blanco,Gasolina,2017,Suzuki,Swift,229500,81000
Camioneta SUV,Blanco,Gasolina,2010,Mitsubishi,Outlander,128000,250532
Camioneta SUV,Negro,Gasolina,2023,Seat,Arona,380000,40700
Sedán,Blanco,Gasolina,2014,Volkswagen,Jetta MK VI STYLE ACTIVE,169000,110000
Camioneta SUV,Plata,Gasolina,2023,Volkswagen,T-CROSS Comfortline,359000,8653
Coupé,Blanco,Gasolina,2019,Ford,Mustang GT,699850,42000
Sedán,Blanco,Gasolina,2018,Chevrolet,Volt,320000,50000
Camioneta SUV,Gris,Gasolina,2018,Renault,Duster,199000,68000
Camioneta SUV,Blanco,Eléctrico,2017,Tesla,Model X,819000,42000
Sedán,Gris,Gasolina,2022,Mercedes Benz,Clase CLA,1149900,18000
Camioneta SUV,Blanco,Gasolina,2015,Toyota,Highlander,379000,95000
Coupé,Azul,Gasolina,2016,Chevrolet,Camaro,459000,116000
Sedán,Negro,Gasolina,2024,Nissan,Versa,368000,4722
Sedán,Blanco,Gasolina,2019,Toyota,Yaris,239500,44000
Coupé,Azul,Gasolina,2022,BMW,430IA,769900,61100
Camioneta SUV,Blanco,Gasolina,2022,Chevrolet,Blazer,610000,64568
Pickup,Gris,Gasolina,2018,Dodge,RAM 2500 HEMI SPORT,335000,82000
Pickup,Azul,Gasolina,2022,Ford,Maverick Lariat AWD,598000,55928
Hatchback (5 Puertas),Gris,Gasolina,2023,Mercedes Benz,A 200,828000,23000
Pickup,Vino,Gasolina,2019,Ford,F-150 Lariat,785000,100115
Pickup,Vino,Gasolina,2016,Ford,Lobo XLT,588000,60362
Pickup,Blanco,Gasolina,2013,GMC,Sierra,374500,109115
Convertible,Verde,Gasolina,2018,Mini,Cooper Convertible,365000,94000
Sedán,Gris,Gasolina,2016,BMW,Serie 5,349900,65000
Hatchback (5 Puertas),Gris,Gasolina,2017,Mini,Cooper S,329500,40000
Crossover,Rojo,Gasolina,2016,Mazda,CX-3,250000,60000
Sedán,Plata,Gasolina,2023,Hyundai,Grand i10,259000,16219
Camioneta SUV,Blanco,Gasolina,2015,Mitsubishi,ASX,192500,59000
Camioneta SUV,Negro,Gasolina,2020,Jeep,Compass,339000,135180
Otro,Negro,Gasolina,2013,Mercedes Benz,ML 500,450000,28000
Camioneta SUV,Blanco,Gasolina,2023,Chevrolet,Captiva,369000,52028
Van,Blanco,Diesel,2019,Fiat,Ducato Cargo Van,435000,66000
Camioneta SUV,Amarillo,Gasolina,2021,Ford,Bronco,519000,69361
Camioneta Chasis,Blanco,Gasolina,2017,RAM,4000,475000,82000
Camioneta SUV,Blanco,Gasolina,2016,Toyota,Highlander Limited Panoramic SunRoof,389000,88000
Camioneta SUV,Rojo,Gasolina,2018,Ford,Escape,274000,91051
Sedán,Negro,Gasolina,2019,Kia,OPTIMA,298000,84913
Pickup,Blanco,Gasolina,2020,Nissan,NP 300,348900,80327
Pickup,Blanco,Gasolina,2019,Chevrolet,Silverado,455000,71909
Van,Blanco,Diesel,2018,Peugeot,Partner Tepee,215000,119332
Todoterreno Ligero,Plata,Gasolina,2017,Infiniti,QX30,319998,71400
Pickup,Gris,Gasolina,2019,Dodge,Ram Longhorn,748000,62600
Camioneta SUV,Blanco,Gasolina,2022,Peugeot,2008,378000,68000
Camioneta SUV,Gris,Gasolina,2023,Mazda,CX-50,670000,5450
Camioneta SUV,Beige,Gasolina,2021,Ford,Expedition,1048000,20000
Camioneta SUV,Rojo,Gasolina,2019,Kia,Sportage,319900,42000
Sedán,Blanco,Gasolina,2023,Peugeot,301,269000,22363
Camioneta SUV,Negro,Híbrido,2022,Jeep,Wagoneer,1349000,56741
Camioneta SUV,Rojo,Gasolina,2023,Renault,Captur,310000,41656
Pickup,Blanco,Diesel,2021,Mitsubishi,L-200,398000,54000
Camioneta SUV,Blanco,Gasolina,2019,Suzuki,S-CROSS,297800,75495
Coupé,Negro,Híbrido,2024,BMW,XM,3249900,7443
Camioneta SUV,Verde,Gasolina,2023,BMW,X1,709900,16230
Camioneta SUV,Blanco,Gasolina,2023,Mitsubishi,Xpander,329000,29055
Camioneta SUV,Plata,Gasolina,2019,Volkswagen,TERAMONT,499000,72710
Camioneta SUV,Gris,Gasolina,2018,Mercedes Benz,Clase GLA,368000,97000
Pickup,Blanco,Gasolina,2019,Volkswagen,Caddy,349500,110000
Pickup,Blanco,Gasolina,2020,Volkswagen,Saveiro,228500,50000
Hatchback (5 Puertas),Azul,Gasolina,2021,Seat,Ibiza,295000,43000
Camioneta SUV,Negro,Gasolina,2021,Mazda,CX-5,419000,88914
Sedán,Blanco,Gasolina,2025,Dodge,Attitude,439000,4990
Sedán,Blanco,Gasolina,2022,Chevrolet,Aveo,219000,44600
Pickup,Blanco,Gasolina,2015,Nissan,NP 300,235000,120
Sedán,Plata,Híbrido,2025,Toyota,Prius,618000,1
Sedán,Blanco,Gasolina,2018,Volkswagen,Jetta Comfortline,239950,88000
Pickup,Rojo,Gasolina,2013,Chevrolet,Cheyenne,319000,88618
Sedán,Azul,Gasolina,2020,Chevrolet,Suburban,850000,31885
Camioneta SUV,Rojo,Gasolina,2024,Baic,X35 FASHION,259900,13224
Hatchback (5 Puertas),Blanco,Gasolina,2022,Nissan,March,230000,39000
Camioneta SUV,Blanco,Gasolina,2021,Peugeot,2008,329000,56619
Camioneta SUV,Blanco,Gasolina,2013,Jeep,Grand Cherokee,309500,64000
Sedán,Blanco,Gasolina,2017,Volkswagen,Jetta A7 Trendline,249500,84000
Mini van (MPV),Blanco,Gasolina,2020,Volkswagen,Caddy Maxi Comfortline,359000,78000
Sedán,Plata,Híbrido,2015,Toyota,Prius,189900,130529
Pickup,Rojo,Gasolina,2015,Dodge,RAM 2500 HEMI SPORT,299500,77000
Camioneta SUV,Negro,Gasolina,2015,Land Rover,Range Rover,595950,55000
Mini van (MPV),Blanco,Gasolina,2013,Nissan,Pathfinder,198500,76000
Camioneta SUV,Blanco,Gasolina,2018,Renault,Captur,224000,73000
Pickup,Rojo,Gasolina,2017,RAM,2500,450000,80000
